run_id,policy,task,instruction,episode_id,reset_id,query_idx,query_start_action_slot,query_end_action_slot_exclusive,planned_exec_length,executed_length,success_before,success_after,trace_path,head_image_path,left_image_path,right_image_path,video_query_index,video_frame_start,video_frame_end_exclusive,terminal_success_video_frame
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Grab the white stapler with metal tray and set it on Cyan mat,1,0,0,0,24,24,24,False,False,traces/episode0001_query0000.npz,query_images/episode0001_query0000_head.png,query_images/episode0001_query0000_left.png,query_images/episode0001_query0000_right.png,0,0,24,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Grab the white stapler with metal tray and set it on Cyan mat,1,0,1,24,48,24,24,False,False,traces/episode0001_query0001.npz,query_images/episode0001_query0001_head.png,query_images/episode0001_query0001_left.png,query_images/episode0001_query0001_right.png,1,24,48,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Grab the white stapler with metal tray and set it on Cyan mat,1,0,2,48,72,24,24,False,False,traces/episode0001_query0002.npz,query_images/episode0001_query0002_head.png,query_images/episode0001_query0002_left.png,query_images/episode0001_query0002_right.png,2,48,72,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Grab the white stapler with metal tray and set it on Cyan mat,1,0,3,72,96,24,24,False,False,traces/episode0001_query0003.npz,query_images/episode0001_query0003_head.png,query_images/episode0001_query0003_left.png,query_images/episode0001_query0003_right.png,3,72,96,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Grab the white stapler with metal tray and set it on Cyan mat,1,0,4,96,120,24,24,False,False,traces/episode0001_query0004.npz,query_images/episode0001_query0004_head.png,query_images/episode0001_query0004_left.png,query_images/episode0001_query0004_right.png,4,96,120,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Grab the white stapler with metal tray and set it on Cyan mat,1,0,5,120,141,24,21,False,True,traces/episode0001_query0005.npz,query_images/episode0001_query0005_head.png,query_images/episode0001_query0005_left.png,query_images/episode0001_query0005_right.png,5,120,141,141
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,0,0,24,24,24,False,False,traces/episode0002_query0000.npz,query_images/episode0002_query0000_head.png,query_images/episode0002_query0000_left.png,query_images/episode0002_query0000_right.png,0,0,24,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,1,24,48,24,24,False,False,traces/episode0002_query0001.npz,query_images/episode0002_query0001_head.png,query_images/episode0002_query0001_left.png,query_images/episode0002_query0001_right.png,1,24,48,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,2,48,72,24,24,False,False,traces/episode0002_query0002.npz,query_images/episode0002_query0002_head.png,query_images/episode0002_query0002_left.png,query_images/episode0002_query0002_right.png,2,48,72,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,3,72,96,24,24,False,False,traces/episode0002_query0003.npz,query_images/episode0002_query0003_head.png,query_images/episode0002_query0003_left.png,query_images/episode0002_query0003_right.png,3,72,96,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,4,96,120,24,24,False,False,traces/episode0002_query0004.npz,query_images/episode0002_query0004_head.png,query_images/episode0002_query0004_left.png,query_images/episode0002_query0004_right.png,4,96,120,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,5,120,144,24,24,False,False,traces/episode0002_query0005.npz,query_images/episode0002_query0005_head.png,query_images/episode0002_query0005_left.png,query_images/episode0002_query0005_right.png,5,120,144,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,6,144,168,24,24,False,False,traces/episode0002_query0006.npz,query_images/episode0002_query0006_head.png,query_images/episode0002_query0006_left.png,query_images/episode0002_query0006_right.png,6,144,168,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,7,168,192,24,24,False,False,traces/episode0002_query0007.npz,query_images/episode0002_query0007_head.png,query_images/episode0002_query0007_left.png,query_images/episode0002_query0007_right.png,7,168,192,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,8,192,216,24,24,False,False,traces/episode0002_query0008.npz,query_images/episode0002_query0008_head.png,query_images/episode0002_query0008_left.png,query_images/episode0002_query0008_right.png,8,192,216,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Move the blue stapler for holding papers to the Gray mat,2,1,9,216,226,24,10,False,True,traces/episode0002_query0009.npz,query_images/episode0002_query0009_head.png,query_images/episode0002_query0009_left.png,query_images/episode0002_query0009_right.png,9,216,226,226
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Place the black stapler on the Cyan mat,3,2,0,0,24,24,24,False,False,traces/episode0003_query0000.npz,query_images/episode0003_query0000_head.png,query_images/episode0003_query0000_left.png,query_images/episode0003_query0000_right.png,0,0,24,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Place the black stapler on the Cyan mat,3,2,1,24,48,24,24,False,False,traces/episode0003_query0001.npz,query_images/episode0003_query0001_head.png,query_images/episode0003_query0001_left.png,query_images/episode0003_query0001_right.png,1,24,48,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Place the black stapler on the Cyan mat,3,2,2,48,72,24,24,False,False,traces/episode0003_query0002.npz,query_images/episode0003_query0002_head.png,query_images/episode0003_query0002_left.png,query_images/episode0003_query0002_right.png,2,48,72,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Place the black stapler on the Cyan mat,3,2,3,72,96,24,24,False,False,traces/episode0003_query0003.npz,query_images/episode0003_query0003_head.png,query_images/episode0003_query0003_left.png,query_images/episode0003_query0003_right.png,3,72,96,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Place the black stapler on the Cyan mat,3,2,4,96,120,24,24,False,False,traces/episode0003_query0004.npz,query_images/episode0003_query0004_head.png,query_images/episode0003_query0004_left.png,query_images/episode0003_query0004_right.png,4,96,120,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Place the black stapler on the Cyan mat,3,2,5,120,143,24,23,False,True,traces/episode0003_query0005.npz,query_images/episode0003_query0005_head.png,query_images/episode0003_query0005_left.png,query_images/episode0003_query0005_right.png,5,120,143,143
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,0,0,24,24,24,False,False,traces/episode0004_query0000.npz,query_images/episode0004_query0000_head.png,query_images/episode0004_query0000_left.png,query_images/episode0004_query0000_right.png,0,0,24,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,1,24,48,24,24,False,False,traces/episode0004_query0001.npz,query_images/episode0004_query0001_head.png,query_images/episode0004_query0001_left.png,query_images/episode0004_query0001_right.png,1,24,48,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,2,48,72,24,24,False,False,traces/episode0004_query0002.npz,query_images/episode0004_query0002_head.png,query_images/episode0004_query0002_left.png,query_images/episode0004_query0002_right.png,2,48,72,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,3,72,96,24,24,False,False,traces/episode0004_query0003.npz,query_images/episode0004_query0003_head.png,query_images/episode0004_query0003_left.png,query_images/episode0004_query0003_right.png,3,72,96,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,4,96,120,24,24,False,False,traces/episode0004_query0004.npz,query_images/episode0004_query0004_head.png,query_images/episode0004_query0004_left.png,query_images/episode0004_query0004_right.png,4,96,120,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,5,120,144,24,24,False,False,traces/episode0004_query0005.npz,query_images/episode0004_query0005_head.png,query_images/episode0004_query0005_left.png,query_images/episode0004_query0005_right.png,5,120,144,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the white stapler to Black mat,4,3,6,144,149,24,5,False,True,traces/episode0004_query0006.npz,query_images/episode0004_query0006_head.png,query_images/episode0004_query0006_left.png,query_images/episode0004_query0006_right.png,6,144,149,149
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the palm-sized black stapler to Black mat,5,4,0,0,24,24,24,False,False,traces/episode0005_query0000.npz,query_images/episode0005_query0000_head.png,query_images/episode0005_query0000_left.png,query_images/episode0005_query0000_right.png,0,0,24,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,move_stapler_pad,Use the left arm to move the palm-sized black stapler to Black mat,5,4,1,24,48,24,24,False,False,traces/episode0005_query0001.npz,query_images/episode0005_query0001_head.png,query_images/episode0005_query0001_left.png,query_images/episode0005_query0001_right.png,1,24,48,
