run_id,policy,task,instruction,episode_id,reset_id,query_idx,query_start_action_slot,query_end_action_slot_exclusive,planned_exec_length,executed_length,success_before,success_after,trace_path,head_image_path,left_image_path,right_image_path,video_query_index,video_frame_start,video_frame_end_exclusive,terminal_success_video_frame
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Grab the bottle with ridged neck and the shiny red bottle at the same time.,1,0,0,0,24,24,24,False,False,traces/episode0001_query0000.npz,query_images/episode0001_query0000_head.png,query_images/episode0001_query0000_left.png,query_images/episode0001_query0000_right.png,0,0,24,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Grab the bottle with ridged neck and the shiny red bottle at the same time.,1,0,1,24,48,24,24,False,False,traces/episode0001_query0001.npz,query_images/episode0001_query0001_head.png,query_images/episode0001_query0001_left.png,query_images/episode0001_query0001_right.png,1,24,48,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Grab the bottle with ridged neck and the shiny red bottle at the same time.,1,0,2,48,72,24,24,False,False,traces/episode0001_query0002.npz,query_images/episode0001_query0002_head.png,query_images/episode0001_query0002_left.png,query_images/episode0001_query0002_right.png,2,48,72,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Grab the bottle with ridged neck and the shiny red bottle at the same time.,1,0,3,72,96,24,24,False,False,traces/episode0001_query0003.npz,query_images/episode0001_query0003_head.png,query_images/episode0001_query0003_left.png,query_images/episode0001_query0003_right.png,3,72,96,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Grab the bottle with ridged neck and the shiny red bottle at the same time.,1,0,4,96,104,24,8,False,True,traces/episode0001_query0004.npz,query_images/episode0001_query0004_head.png,query_images/episode0001_query0004_left.png,query_images/episode0001_query0004_right.png,4,96,104,104
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with ridged orange grip and take the medium-sized plastic bottle with capped top together.,2,1,0,0,24,24,24,False,False,traces/episode0002_query0000.npz,query_images/episode0002_query0000_head.png,query_images/episode0002_query0000_left.png,query_images/episode0002_query0000_right.png,0,0,24,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with ridged orange grip and take the medium-sized plastic bottle with capped top together.,2,1,1,24,48,24,24,False,False,traces/episode0002_query0001.npz,query_images/episode0002_query0001_head.png,query_images/episode0002_query0001_left.png,query_images/episode0002_query0001_right.png,1,24,48,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with ridged orange grip and take the medium-sized plastic bottle with capped top together.,2,1,2,48,72,24,24,False,False,traces/episode0002_query0002.npz,query_images/episode0002_query0002_head.png,query_images/episode0002_query0002_left.png,query_images/episode0002_query0002_right.png,2,48,72,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with ridged orange grip and take the medium-sized plastic bottle with capped top together.,2,1,3,72,96,24,24,False,False,traces/episode0002_query0003.npz,query_images/episode0002_query0003_head.png,query_images/episode0002_query0003_left.png,query_images/episode0002_query0003_right.png,3,72,96,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with ridged orange grip and take the medium-sized plastic bottle with capped top together.,2,1,4,96,114,24,18,False,True,traces/episode0002_query0004.npz,query_images/episode0002_query0004_head.png,query_images/episode0002_query0004_left.png,query_images/episode0002_query0004_right.png,4,96,114,114
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with curved body and the bottle with yellow Chinese characters together.,3,2,0,0,24,24,24,False,False,traces/episode0003_query0000.npz,query_images/episode0003_query0000_head.png,query_images/episode0003_query0000_left.png,query_images/episode0003_query0000_right.png,0,0,24,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with curved body and the bottle with yellow Chinese characters together.,3,2,1,24,48,24,24,False,False,traces/episode0003_query0001.npz,query_images/episode0003_query0001_head.png,query_images/episode0003_query0001_left.png,query_images/episode0003_query0001_right.png,1,24,48,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with curved body and the bottle with yellow Chinese characters together.,3,2,2,48,72,24,24,False,False,traces/episode0003_query0002.npz,query_images/episode0003_query0002_head.png,query_images/episode0003_query0002_left.png,query_images/episode0003_query0002_right.png,2,48,72,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with curved body and the bottle with yellow Chinese characters together.,3,2,3,72,96,24,24,False,False,traces/episode0003_query0003.npz,query_images/episode0003_query0003_head.png,query_images/episode0003_query0003_left.png,query_images/episode0003_query0003_right.png,3,72,96,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up the bottle with curved body and the bottle with yellow Chinese characters together.,3,2,4,96,108,24,12,False,True,traces/episode0003_query0004.npz,query_images/episode0003_query0004_head.png,query_images/episode0003_query0004_left.png,query_images/episode0003_query0004_right.png,4,96,108,108
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up both the bottle with ridges near base and the light gray bottle together.,4,3,0,0,24,24,24,False,False,traces/episode0004_query0000.npz,query_images/episode0004_query0000_head.png,query_images/episode0004_query0000_left.png,query_images/episode0004_query0000_right.png,0,0,24,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up both the bottle with ridges near base and the light gray bottle together.,4,3,1,24,48,24,24,False,False,traces/episode0004_query0001.npz,query_images/episode0004_query0001_head.png,query_images/episode0004_query0001_left.png,query_images/episode0004_query0001_right.png,1,24,48,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up both the bottle with ridges near base and the light gray bottle together.,4,3,2,48,72,24,24,False,False,traces/episode0004_query0002.npz,query_images/episode0004_query0002_head.png,query_images/episode0004_query0002_left.png,query_images/episode0004_query0002_right.png,2,48,72,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up both the bottle with ridges near base and the light gray bottle together.,4,3,3,72,96,24,24,False,False,traces/episode0004_query0003.npz,query_images/episode0004_query0003_head.png,query_images/episode0004_query0003_left.png,query_images/episode0004_query0003_right.png,3,72,96,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,Pick up both the bottle with ridges near base and the light gray bottle together.,4,3,4,96,106,24,10,False,True,traces/episode0004_query0004.npz,query_images/episode0004_query0004_head.png,query_images/episode0004_query0004_left.png,query_images/episode0004_query0004_right.png,4,96,106,106
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,"Grab the hand-sized yellow plastic bottle with one arm, grab the curvy orange bottle with white section with the other.",5,4,0,0,24,24,24,False,False,traces/episode0005_query0000.npz,query_images/episode0005_query0000_head.png,query_images/episode0005_query0000_left.png,query_images/episode0005_query0000_right.png,0,0,24,
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,"Grab the hand-sized yellow plastic bottle with one arm, grab the curvy orange bottle with white section with the other.",5,4,1,24,48,24,24,False,False,traces/episode0005_query0001.npz,query_images/episode0005_query0001_head.png,query_images/episode0005_query0001_left.png,query_images/episode0005_query0001_right.png,1,24,48,
