run_id,policy,task,instruction,episode_id,reset_id,query_idx,query_start_action_slot,query_end_action_slot_exclusive,planned_exec_length,executed_length,success_before,success_after,trace_path,head_image_path,left_image_path,right_image_path,video_query_index,video_frame_start,video_frame_end_exclusive,terminal_success_video_frame
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,0,0,24,24,24,False,False,traces/episode0001_query0000.npz,query_images/episode0001_query0000_head.png,query_images/episode0001_query0000_left.png,query_images/episode0001_query0000_right.png,0,0,24,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,1,24,48,24,24,False,False,traces/episode0001_query0001.npz,query_images/episode0001_query0001_head.png,query_images/episode0001_query0001_left.png,query_images/episode0001_query0001_right.png,1,24,48,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,2,48,72,24,24,False,False,traces/episode0001_query0002.npz,query_images/episode0001_query0002_head.png,query_images/episode0001_query0002_left.png,query_images/episode0001_query0002_right.png,2,48,72,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,3,72,96,24,24,False,False,traces/episode0001_query0003.npz,query_images/episode0001_query0003_head.png,query_images/episode0001_query0003_left.png,query_images/episode0001_query0003_right.png,3,72,96,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,4,96,120,24,24,False,False,traces/episode0001_query0004.npz,query_images/episode0001_query0004_head.png,query_images/episode0001_query0004_left.png,query_images/episode0001_query0004_right.png,4,96,120,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,5,120,144,24,24,False,False,traces/episode0001_query0005.npz,query_images/episode0001_query0005_head.png,query_images/episode0001_query0005_left.png,query_images/episode0001_query0005_right.png,5,120,144,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,6,144,168,24,24,False,False,traces/episode0001_query0006.npz,query_images/episode0001_query0006_head.png,query_images/episode0001_query0006_left.png,query_images/episode0001_query0006_right.png,6,144,168,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,7,168,192,24,24,False,False,traces/episode0001_query0007.npz,query_images/episode0001_query0007_head.png,query_images/episode0001_query0007_left.png,query_images/episode0001_query0007_right.png,7,168,192,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,8,192,216,24,24,False,False,traces/episode0001_query0008.npz,query_images/episode0001_query0008_head.png,query_images/episode0001_query0008_left.png,query_images/episode0001_query0008_right.png,8,192,216,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,9,216,240,24,24,False,False,traces/episode0001_query0009.npz,query_images/episode0001_query0009_head.png,query_images/episode0001_query0009_left.png,query_images/episode0001_query0009_right.png,9,216,240,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,10,240,264,24,24,False,False,traces/episode0001_query0010.npz,query_images/episode0001_query0010_head.png,query_images/episode0001_query0010_left.png,query_images/episode0001_query0010_right.png,10,240,264,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,11,264,288,24,24,False,False,traces/episode0001_query0011.npz,query_images/episode0001_query0011_head.png,query_images/episode0001_query0011_left.png,query_images/episode0001_query0011_right.png,11,264,288,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,12,288,312,24,24,False,False,traces/episode0001_query0012.npz,query_images/episode0001_query0012_head.png,query_images/episode0001_query0012_left.png,query_images/episode0001_query0012_right.png,12,288,312,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,13,312,336,24,24,False,False,traces/episode0001_query0013.npz,query_images/episode0001_query0013_head.png,query_images/episode0001_query0013_left.png,query_images/episode0001_query0013_right.png,13,312,336,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,14,336,360,24,24,False,False,traces/episode0001_query0014.npz,query_images/episode0001_query0014_head.png,query_images/episode0001_query0014_left.png,query_images/episode0001_query0014_right.png,14,336,360,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,15,360,384,24,24,False,False,traces/episode0001_query0015.npz,query_images/episode0001_query0015_head.png,query_images/episode0001_query0015_left.png,query_images/episode0001_query0015_right.png,15,360,384,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Click the hand-sized square electrical switch using the right arm,1,0,16,384,400,24,16,False,False,traces/episode0001_query0016.npz,query_images/episode0001_query0016_head.png,query_images/episode0001_query0016_left.png,query_images/episode0001_query0016_right.png,16,384,400,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Activate the switch at the flat gray switch,2,1,0,0,24,24,24,False,False,traces/episode0002_query0000.npz,query_images/episode0002_query0000_head.png,query_images/episode0002_query0000_left.png,query_images/episode0002_query0000_right.png,0,0,24,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Activate the switch at the flat gray switch,2,1,1,24,48,24,24,False,False,traces/episode0002_query0001.npz,query_images/episode0002_query0001_head.png,query_images/episode0002_query0001_left.png,query_images/episode0002_query0001_right.png,1,24,48,
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,Activate the switch at the flat gray switch,2,1,2,48,72,24,24,False,False,traces/episode0002_query0002.npz,query_images/episode0002_query0002_head.png,query_images/episode0002_query0002_left.png,query_images/episode0002_query0002_right.png,2,48,72,
